qlps,hkpa,hm,qlmin,name
0,133.1521739,16.12007887,0,Zulzer
2.297377127,129.2391304,15.64634594,137.8426276,VMOA
4.831196834,124.3478261,15.05417978,289.87181,100
7.282165643,120.4347826,14.58044685,436.9299386,1170
9.814656191,116.5217391,14.10671392,588.8793715,182
12.34714674,112.6086957,13.632981,740.8288044,
14.79988776,107.3913043,13.00133708,887.9932656,
17.33547968,101.1956522,12.25125995,1040.128781,
19.87240076,94.02173913,11.38274957,1192.344046,
22.32957231,85.54347826,10.35632822,1339.774339,
24.78984523,74.7826087,9.053562667,1487.390714,
27.25144731,63.04347826,7.632363876,1635.086839,
28.64706404,55.86956522,6.763853504,1718.823842,
