qmh,hm,qlmin,name,nqls,nhm,nqlmin
1.070967267,83.86519455,17.84945446,KSB,7.219172236,0.709124629,433.1503342
2.986699408,83.85187686,49.77832347,CPKD,7.750210096,0.6961704,465.0126057
4.902515991,83.86519455,81.70859986, 80-400 (60) ,8.281247955,0.6961704,496.8748773
6.818417016,83.9051476,113.6402836,1750,8.812285814,0.692931843,528.7371488
8.734486925,83.9983714,145.5747821,400,9.343323673,0.681596892,560.5994204
10.65026129,83.9983714,177.5043548,,9.874361532,0.657307712,592.4616919
12.56603565,83.9983714,209.4339275,,10.40539939,0.657307712,624.3239635
14.48183112,84.00503024,241.363852,,10.93643725,0.657307712,656.186235
16.39758437,83.9983714,273.2930729,,11.46747511,0.657307712,688.0485066
18.31312652,83.92512413,305.2187753,,11.99851297,0.670261941,719.9107781
20.22875311,83.87851223,337.1458852,,12.52955083,0.689693285,751.7730496
22.14444303,83.85187686,369.0740505,,13.06058869,0.692931843,783.6353212
24.06021739,83.85187686,401.0036232,,13.59162655,0.689693285,815.4975927
25.97575954,83.77862959,432.9293256,,14.1226644,0.704266793,847.3598643
27.89134391,83.71870001,464.8557318,,14.65370226,0.730175252,879.2221358
29.80709716,83.71204117,496.7849526,,15.18474012,0.757702989,911.0844074
31.7228293,83.69872348,528.7138216,,15.71577798,0.785230727,942.9466789
33.638287,83.59884084,560.6381167,,16.24681584,0.830570529,974.8089505
35.55395581,83.56554663,592.5659302,,16.76176164,0.863878192,1005.705699
37.46973018,83.56554663,624.4955029,,17.30889156,0.961732101,1038.533494
39.38508233,83.43236978,656.4180388,,17.83992942,0.935823643,1070.395765
41.30051892,83.32582829,688.3419821,,18.37096728,0.973067052,1102.258037
43.21610329,83.26589871,720.2683882,,18.90200514,1.015168297,1134.120308
45.13187765,83.26589871,752.1979609,,19.433043,1.041886395,1165.98258
47.04725092,83.1393807,784.1208486,,19.96408085,1.080911011,1197.844851
48.96277195,83.05947459,816.0461992,,20.49511871,1.127222381,1229.707123
50.8783141,82.98622732,847.9719017,,21.02615657,1.191669672,1261.569394
52.79381403,82.89966236,879.8969004,,21.55719443,1.25482154,1293.431666
54.70922951,82.78646204,911.8204918,,22.08823229,1.337404752,1325.293937
56.62451833,82.63330866,943.7419722,,22.61927015,1.410272292,1357.156209
58.53993382,82.52010833,975.6655636,,23.15030801,1.48475911,1389.018481
60.45539152,82.42022569,1007.589859,,23.68134587,1.575438716,1420.880752
62.37063812,82.25375463,1039.510635,,24.21238373,1.662879764,1452.743024
64.28586361,82.08062472,1071.43106,,24.74342159,1.747082254,1484.605295
66.20104688,81.89417712,1103.350781,,25.27445945,1.831284745,1516.467567
68.11631459,81.7343649,1135.27191,,25.8054973,1.917106514,1548.329838
70.0315823,81.57455268,1167.193038,,26.33653516,2.009945158,1580.19211
71.94689224,81.42805814,1199.114871,,26.86757302,2.156219997,1612.054381
73.86205439,81.2349517,1231.03424,,27.39861088,2.304114115,1643.916653
75.77730099,81.06848064,1262.955017,,27.92964874,2.410986507,1675.778924
77.69242093,80.86205651,1294.873682,,28.4606866,2.555102308,1707.641196
79.60773086,80.71556198,1326.795514,,28.99172446,2.697598831,1739.503468
81.52228082,80.3293491,1358.70468,,29.52276232,2.866003812,1771.365739
83.4372952,80.08963077,1390.621587,,30.05380018,3.02604252,1803.228011
85.35298513,80.0629954,1422.549752,,30.58483804,3.238437905,1835.090282
87.17225601,79.62304234,1452.870934,,31.09173781,3.418177837,1865.504269
89.02784303,79.11745212,1483.797384,,31.64208614,3.662203132,1898.525168
91.14835984,78.73921748,1519.139331,,32.17795161,3.931489174,1930.677097
93.01029831,78.23847251,1550.171638,,32.70898947,4.175460493,1962.539368
94.9247216,77.81230658,1582.078693,,33.24002733,4.444800511,1994.40164
96.83925044,77.41943487,1613.987507,,33.77106519,4.745446584,2026.263911
98.75352596,76.94665704,1645.892099,,34.30210305,5.039885421,2058.126183
100.6673793,76.34070236,1677.789655,,34.83314091,5.367789351,2089.988455
102.581697,75.88124221,1709.69495,,35.36417877,5.724300537,2121.850726
104.4953498,75.21202853,1741.589163,,35.89521663,6.090797275,2153.712998
106.4093825,74.66267401,1773.489709,,36.42625449,6.478614516,2185.575269
108.3228981,73.95017785,1805.381634,,36.95729235,6.906913723,2217.437541
110.2363503,73.21770515,1837.272505,,37.44005404,7.29922896,2246.403242
112.1496125,72.42530288,1869.160208,,37.85040147,7.666355417,2271.024088
114.0628325,71.61958292,1901.047208,,38.28488699,8.061783267,2297.09322
115.9759575,70.78389817,1932.932625,,38.55040592,8.280871671,2313.024355
117.888991,69.91935843,1964.816517,,,,
119.8019225,69.02263429,1996.698708,,,,
121.7148047,68.11037284,2028.580079,,,,
123.6274125,67.11154645,2060.456875,,,,
125.5400625,66.12603774,2092.334376,,,,
127.4525472,65.08836809,2124.20912,,,,
129.3649404,64.02184346,2156.082339,,,,
131.2768684,62.80860233,2187.947806,,,,
133.1893749,61.77781349,2219.822914,,,,
135.1016889,60.68632662,2251.694815,,,,
137.0139577,59.58058319,2283.565962,,,,
138.8308232,58.38189763,2313.847053,,,,
140.6480696,57.30335289,2344.134493,,,,
142.1410021,56.20103277,2369.016701,,,,
