qmh,hm,qlmin,name,nqls,nhm,nqlmin
0.080075607,45.63605662,1.334593451,KSB,0.35169843,0.347737635,21.1019058
0.260307921,45.6645536,4.338465349,CPKN,0.401772489,0.350477127,24.10634936
0.441905631,45.63231678,7.365093854, 25-160 (13) ,0.451846549,0.346395617,27.11079293
0.620772549,45.60619454,10.34620915,3500,0.501920608,0.345724607,30.1152365
0.801004863,45.60619454,13.35008105,160,0.551994668,0.348464099,33.11968006
0.986307802,45.63231678,16.43846337,,0.602068727,0.344382589,36.12412363
1.177072328,45.62993393,19.61787213,,0.652142787,0.34371158,39.1285672
1.380708897,45.56309362,23.01181495,,0.702216846,0.346451072,42.13301076
1.560941211,45.61771284,26.01568684,,0.752290906,0.342369562,45.13745433
1.741173525,45.65095933,29.01955874,,0.802364965,0.341698552,48.1418979
1.92823282,45.66837415,32.13721367,,0.852439024,0.344438044,51.14634146
2.101638152,45.71745229,35.02730254,,0.902513084,0.340356534,54.15078503
2.281870466,45.45421062,38.03117444,,0.952587143,0.343096026,57.1552286
2.464833573,45.4320463,41.08055955,,1.002661203,0.339014516,60.15967216
2.642335094,45.32258978,44.03891824,,1.052735262,0.338343506,63.16411573
2.827608872,45.37483426,47.12681453,,1.102809322,0.339377748,66.1685593
3.002799722,45.21776558,50.04666204,,1.152883381,0.34211724,69.17300286
3.183032036,45.21810084,53.05053393,,1.202957441,0.355088235,72.17744643
3.36326435,45.32122469,56.05440583,,1.2530315,0.369764481,75.18189
3.539400475,45.14966927,58.99000792,,1.303105559,0.367388222,78.18633356
3.719632789,45.02456987,61.99387981,,1.353179619,0.390590721,81.19077713
3.895640569,44.92154515,64.92734281,,1.403253678,0.381393459,84.1952207
4.077366624,44.91334142,67.9561104,,1.453327738,0.370490946,87.19966426
4.280810675,44.61566975,71.34684459,,1.503401797,0.38005144,90.20410783
4.463773782,44.45832247,74.3962297,,1.553475857,0.40666444,93.2085514
4.641275303,44.34752104,77.35458839,,1.603549916,0.405993431,96.21299496
4.819322983,44.14772474,80.32204972,,1.653623976,0.42749068,99.21743853
4.991206874,43.8149393,83.18678123,,1.703698035,0.442166926,102.2218821
5.181972245,43.66768868,86.36620409,,1.753772094,0.444906418,105.2263257
5.362204559,43.3403288,89.37007598,,1.803846154,0.468108917,108.2307692
5.542436873,43.12185191,92.37394788,,1.853920213,0.477669411,111.2352128
5.724233025,42.65337219,95.40388375,,1.903994273,0.494050908,114.2396564
6.115903326,41.92866172,101.9317221,,1.954068332,0.515548156,117.2440999
6.29613564,41.4873139,104.935594,,2.004142392,0.535340154,120.2485435
6.477733351,41.13862162,107.9622225,,2.054216451,0.5500164,123.2529871
6.656600268,40.54287478,110.9433378,,2.104290511,0.571513648,126.2574306
6.836832582,39.96396924,113.9472097,,2.15436457,0.586189894,129.2618742
6.997441738,39.35924025,116.624029,,2.204438629,0.597455639,132.2663178
7.159853956,38.80824187,119.3308993,,2.254512689,0.622363389,135.2707613
7.410299036,37.89977942,123.5049839,,2.304586748,0.628513382,138.2752049
7.559325676,37.21401019,125.9887613,,2.354660808,0.651715881,141.2796485
7.795667508,36.21536178,129.9277918,,2.404734867,0.668097377,144.284092
7.939489329,35.5553289,132.3248222,,2.454808927,0.699826129,147.2885356
8.115625454,34.68353769,135.2604242,,2.504882986,0.72814438,150.2929792
8.279944533,33.85518497,137.9990756,,2.554957046,0.795683394,153.2974227
8.433175934,33.14024168,140.5529322,,2.605031105,0.843896235,156.3018663
8.583174472,32.26940846,143.0529079,,2.655105164,0.879603905,159.3063099
8.733958315,31.52071161,145.5659719,,2.705179224,0.931227247,162.3107534
8.958028277,30.20769423,149.3004713,,2.755253283,1.020934518,165.315197
9.130698396,29.14342658,152.1783066,,2.805327343,1.227167246,168.3196406
9.263211935,28.43467584,154.3868656,,2.848573121,1.560887905,170.9143873
9.359297135,27.76091071,155.9882856,,2.887266713,1.940821855,173.2360028
9.493683755,27.00370149,158.2280626,,2.921408117,2.354771818,175.284487
9.611423044,26.02805307,160.1903841,,2.946445147,2.771483764,176.7867088
9.835242896,24.48411133,163.9207149,,2.966929989,3.143997338,178.0157993
10.00854666,23.45002667,166.8091109,,2.985138738,3.577236153,179.1083243
10.12197612,22.40869967,168.699602,,3.005623581,3.981727235,180.3374148
5.835460993,42.53731343,97.25768322,,3.021556236,4.471493126,181.2933741
5.991489362,42.23880597,99.85815603,,3.044317172,4.939871507,182.6590303
7.317730496,38.35820896,121.9621749,,3.057518515,5.406085376,183.4511109
7.676595745,36.71641791,127.9432624,,3.072388993,5.85810435,184.3433396
8.846808511,30.89552239,147.4468085,,3.087562951,6.322937058,185.253777
9.736170213,25.37313433,162.2695035,,3.099365064,6.749277119,185.9619038
,,,,3.109998025,7.090361686,186.5998815
