qls,hm,qlmin,name,nqls,nhm,nqlmin
0.283784978,0.985335017,,KSB,,,
0.675581481,0.987664734,,CPKN,,,
1.06740566,0.98746938,, 80-200 (115) ,,,
1.459305951,0.980330082,,1160,,,
1.851130131,0.980134728,,140,,,
2.24295431,0.979939374,,,,,
2.634799247,0.977850217,,,,,
3.026602669,0.979548666,,,,,
3.418426848,0.979353312,,,,,
3.810237189,0.980420493,,,,,
4.202026772,0.983381478,,,,,
4.593816355,0.986342462,,,,,
4.985522907,0.996878659,,,,,
5.37731941,0.999208375,,,,,
5.769143589,0.999013022,,,,,
6.160967769,0.998817668,,,,,
6.552639724,1.012510203,,,,,
6.944477742,1.011052313,,,,,
7.336288083,1.012119495,,,,,
7.728112262,1.011924141,,,,,
8.11995028,1.010466251,,,,,
8.511739863,1.013427236,,,,,
8.903508689,1.018282023,,,,,
9.295206015,1.02965991,,,,,
9.686859519,1.045035826,,,,,
10.07829991,1.079854785,,,,,
10.46935928,1.149435552,,,,,
10.86051229,1.210473163,,,,,
11.25147156,1.289186268,,,,,
11.64223709,1.385574869,,,,,
12.03278467,1.501848401,,,,,
12.42312467,1.637059964,,,,,
12.6892206,1.733352905,,,,,
