qhm,hm,qlmin,name,nqls,nhm,nqlmin
0.978495226,7.177509528,16.30825376,KSB,0.283784978,0.985335017,17.0270987
2.398426343,7.177509528,39.97377239,CPKN,0.675581481,0.987664734,40.53488884
3.818357461,7.177509528,63.63929101, 80-200 (115) ,1.06740566,0.98746938,64.0443396
5.238288578,7.177509528,87.30480964,1160,1.459305951,0.980330082,87.55835708
6.658219696,7.165541158,110.9703283,180,1.851130131,0.980134728,111.0678078
8.078150813,7.158176007,134.6358469,,2.24295431,0.979939374,134.5772586
9.498081931,7.140683773,158.3013655,,2.634799247,0.977850217,158.0879548
10.91801305,7.125032827,181.9668841,,3.026602669,0.979548666,181.5961601
12.33794417,7.115826388,205.6324028,,3.418426848,0.979353312,205.1056109
13.75787528,7.098334154,229.2979214,,3.810237189,0.980420493,228.6142314
15.1778064,7.061048076,252.96344,,4.202026772,0.983381478,252.1216063
16.59773752,7.042174876,276.6289586,,4.593816355,0.986342462,275.6289813
18.01766864,7.024682642,300.2944773,,4.985522907,0.996878659,299.1313744
19.43759975,7.004121596,323.9599959,,5.37731941,0.999208375,322.6391646
20.85753087,6.992460106,347.6255145,,5.769143589,0.999013022,346.1486153
22.27746199,6.974967872,371.2910331,,6.160967769,0.998817668,369.6580661
23.69739311,6.968523365,394.9565518,,6.552639724,1.012510203,393.1583834
25.11732422,6.935380185,418.6220704,,6.944477742,1.011052313,416.6686645
26.53725534,6.904078293,442.287589,,7.336288083,1.012119495,440.177285
27.95718646,6.87737962,465.9531076,,7.728112262,1.011924141,463.6867357
29.37711758,6.835950645,489.6186263,,8.11995028,1.010466251,487.1970168
30.79704869,6.802807465,513.2841449,,8.511739863,1.013427236,510.7043918
32.34606446,6.759537202,539.1010743,,8.903508689,1.018282023,534.2105213
33.76599558,6.716266939,562.7665929,,9.295226773,1.027766107,557.7136064
35.18592669,6.674837964,586.4321116,,9.687046339,1.027991598,581.2227804
36.60585781,6.628805769,610.0976302,,10.07886706,1.028111878,604.7320235
38.02578893,6.551318242,633.7631488,,10.47067855,1.029073848,628.2407132
39.53508634,6.47861098,658.9181057,,10.86249351,1.029720185,651.7496104
40.86565116,6.471375664,681.0941861,,11.25412856,1.046779481,675.2477136
42.28558228,6.401713609,704.7597047,,11.64589738,1.051634268,698.7538431
43.7055134,6.340644231,728.4252233,,12.03772156,1.051438914,722.2632939
45.12544452,6.275278515,752.0907419,,12.42949039,1.056293702,745.7694234
46.54537563,6.202547647,775.7562606,,12.82129381,1.057992151,769.2776287
47.96530675,6.124292917,799.4217792,,13.21306956,1.06221567,792.7841733
49.32069555,6.052390629,822.0115924,,13.60487298,1.06391412,816.2923786
50.80516899,5.971772912,846.7528164,,13.99669024,1.064350033,839.8014143
52.2251001,5.846258461,870.4183351,,14.38847982,1.067311018,863.3087892
53.64503122,5.733939907,894.0838537,,14.78024865,1.072165805,886.8149188
55.06496234,5.592007307,917.7493723,,15.17194828,1.083333269,910.3168967
56.48489346,5.499482595,941.4148909,,15.56370327,1.089450592,933.8221959
57.90482457,5.390079413,965.0804096,,15.9554029,1.100618056,957.3241739
59.32475569,5.255818846,988.7459282,,16.34704718,1.116835662,980.8228306
60.74468681,5.131838801,1012.411447,,16.73855999,1.145047354,1004.313599
62.16461793,5.009393164,1036.076965,,17.12998977,1.180834257,1027.799386
63.58454904,4.880196138,1059.742484,,17.52121889,1.234927923,1051.273134
65.00448016,4.714787119,1083.408003,,17.91238574,1.294702999,1074.743145
66.42441128,4.56380152,1107.073521,,18.30340037,1.368365963,1098.204022
67.8443424,4.415117532,1130.73904,,18.69420741,1.460966957,1121.652445
69.26427351,4.262750968,1154.404559,,19.09978748,1.559838158,1145.987249
70.68420463,4.103019253,1178.070077,,19.42883962,1.707810773,1165.730377
72.10413575,3.948351079,1201.735596,,19.70748199,1.866499932,1182.448919
73.52406687,3.789908265,1225.401114,,19.95285912,1.996038514,1197.171547
74.94399798,3.634871834,1249.066633,,20.21814406,2.166321287,1213.088644
76.08223896,3.50690433,1268.037316,,20.43027886,2.311045572,1225.816732
77.26164142,3.381226453,1287.694024,,20.63210283,2.467962262,1237.92617
78.16901408,3.259668508,1302.816901,,20.81871352,2.62008721,1249.122811
79.01408451,3.149171271,1316.901408,,21.01282683,2.784098087,1260.76961
,,,,21.25125495,2.96730661,1275.075297
,,,,21.35920774,3.109882421,1281.552464
,,,,21.50610186,3.277448172,1290.366112
,,,,21.68230006,3.451040652,1300.938004
