qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0,32.02380952,0,KSB,6.036585366,0.687245935,100.6097561
2.016715439,31.9047619,33.61192398,Etabloc,7.987804878,0.725779133,133.1300813
4.028110313,32.02380952,67.13517188,65,10,0.711805556,166.6666667
5.983195885,31.9047619,99.71993142,1750,12.01219512,0.645748645,200.203252
7.993703999,31.54761905,133.2284,260,14.02439024,0.735941734,233.7398374
10.06029973,31.30952381,167.6716621,,16.03658537,0.669884824,267.2764228
12.01472023,30.83333333,200.2453371,,17.98780488,0.708418022,299.796748
14.07976412,29.76190476,234.6627354,,20,0.798611111,333.3333333
16.03196772,28.0952381,267.199462,,21.95121951,0.889227642,365.8536585
18.0387071,25.71428571,300.6451184,,22.68292683,1.040396341,378.0487805
20.04455972,22.85714286,334.0759954,,23.1097561,1.297848916,385.1626016
21.99476811,20.11904762,366.5794685,,,,
22.99636428,17.97619048,383.272738,,,,
