qmh,hm,qlmin,name,nqls,nhm,nqlmin
10.34588458,49.13611901,172.4314097,KSB,136.0381269,5.455387586,8162.287617
31.83091104,49.08729283,530.515184,Etanorm-R,142.750715,5.509702933,8565.042902
60.36630552,49.03826058,1006.105092, 250-330 ,148.6870923,5.521522624,8921.225538
88.90662267,48.86704046,1481.777045,1750,154.8672674,5.524172054,9292.036045
117.4484008,48.6595569,1957.473347,330,161.3314315,5.569124155,9679.885891
146.2064793,48.44864515,2436.774655,,168.018712,5.576822433,10081.12272
174.5330888,48.2164984,2908.884813,,173.9797165,5.63253339,10438.78299
202.6412003,48.04232691,3377.353338,,180.302637,5.659342294,10818.15822
231.6137369,47.8737147,3860.228948,,186.3858024,5.684132133,11183.14814
260.1530616,47.7271287,4335.88436,,192.9591165,5.755581149,11577.54699
288.6951567,47.51177778,4811.585945,,199.1843285,5.774345417,11951.05971
317.2397444,47.2345571,5287.329073,,205.6152849,5.850573273,12336.91709
345.9965791,47.0545168,5766.609652,,211.9895432,5.891354568,12719.37259
374.3226327,46.83617006,6238.710545,,218.278806,5.97502211,13096.72836
402.4316237,46.64016874,6707.193728,,225.1546849,6.070081593,13509.28109
431.4101152,46.3237478,7190.168587,,230.9506645,6.132872719,13857.03987
459.9528762,46.09186612,7665.88127,,237.2839685,6.201280799,14237.03811
488.0666772,45.77647543,8134.44462,,243.387751,6.308668103,14603.26506
517.0471381,45.41117026,8617.452302,,250.3519291,6.467187532,15021.11575
545.8088856,45.10918777,9096.81476,,256.2391679,6.61077485,15374.35008
574.1399034,44.76762196,9568.99839,,262.6738683,6.702002139,15760.4321
602.253946,44.44623088,10037.56577,,269.0635221,6.804461401,16143.81133
631.2348292,44.07044464,10520.58049,,275.370479,6.959016189,16522.22874
659.7827552,43.71036405,10996.37925,,282.2185069,7.117765942,16933.11041
688.3314527,43.33113023,11472.19088,,288.0779528,7.259550729,17284.67717
716.8841628,42.85229965,11948.06938,,294.07276,7.409605156,17644.3656
746.9204185,42.34144728,12448.67364,,300.6072823,7.61319427,18036.43694
772.9106206,41.8487443,12881.84368,,307.1644645,7.811714589,18429.86787
802.111126,41.38707808,13368.51877,,313.4224269,7.961684908,18805.34561
831.3009909,40.77679759,13855.01652,,319.8771532,8.133141149,19192.62919
859.6587275,40.18475673,14327.64546,,326.3123547,8.406892222,19578.74128
887.8933033,39.5542902,14798.22172,,332.6394535,8.653324315,19958.36721
915.7835531,38.80321006,15263.05922,,339.5136127,8.916762651,20370.81676
945.5650633,37.95290517,15759.41772,,345.4064273,9.192230891,20724.38564
973.9158094,37.12165529,16231.93016,,351.480307,9.471320186,21088.81842
1001.884161,36.28924639,16698.06935,,358.0132173,9.85620054,21480.79304
1031.054534,35.33734102,17184.24223,,364.5312525,10.24126374,21871.87515
1059.620291,34.5346568,17660.33818,,371.0250899,10.60943297,22261.5054
1087.081319,33.55914964,18118.02198,,377.4510729,11.0491359,22647.06437
1116.777667,32.28738177,18612.96112,,383.3873215,11.47912689,23003.23929
1145.568351,31.26715342,19092.80585,,390.3125553,11.96666741,23418.75332
1173.938694,29.94948036,19565.6449,,395.8490627,12.39002518,23750.94376
1202.086702,28.7850137,20034.77837,,402.0068924,12.80912141,24120.41354
1228.075607,27.67441276,20467.92678,,407.0486866,13.27061703,24422.92119
1259.343966,26.2045541,20989.0661,,411.9505351,13.74655508,24717.0321
1289.68144,24.67916188,21494.69067,,,,
1310.59845,23.63479013,21843.3075,,,,
1329.305593,22.61326743,22155.09322,,,,
1350.71399,21.52817183,22511.89983,,,,
1371.24512,20.39123338,22854.08533,,,,
1391.097469,19.23508983,23184.95782,,,,
1427.649551,17.26008698,23794.15918,,,,
1411.191842,18.22205241,23519.86403,,,,
1443.825423,16.45016185,24063.75705,,,,
