qhm,hm,qlmin,name,nqls,nhm,nqlmin
16.10995173,54.74611654,268.4991955,KSB,196.745033,6.242331738,11804.70198
48.84067139,54.64656226,814.0111898,Etanorm-R,206.4411084,6.336188288,12386.46651
83.14198503,54.46682357,1385.699751, 300-360,215.9217156,6.438205411,12955.30293
116.1448255,54.30949505,1935.747092,1750,225.1150316,6.478373049,13506.90189
151.7492556,54.19580126,2529.154261,360,234.8829298,6.666940496,14092.97579
187.3492345,53.99730987,3122.487241,,244.363537,6.801892072,14661.81222
220.3543287,53.88291471,3672.572144,,253.4850302,6.827626539,15209.10181
254.6519179,53.63222709,4244.198632,,263.3247513,7.014159931,15799.48508
289.9834258,53.27102918,4833.057097,,273.40204,7.146146997,16404.1224
323.2421499,53.0366185,5387.369165,,281.9268516,7.244831686,16915.6111
357.5436762,52.86093118,5959.06127,,291.7665727,7.386080204,17505.99436
392.6165339,52.52411066,6543.608898,,301.5344709,7.477902698,18092.06826
426.1353431,52.29265841,7102.255719,,310.7277869,7.647749742,18643.66722
460.4372948,52.12507384,7673.954913,,320.2083941,7.766234091,19212.50364
496.818249,51.949168,8280.304149,,329.9044695,7.827156189,19794.26817
529.0376182,51.72170652,8817.293636,,339.1696083,8.044370855,20350.1765
563.3390736,51.54466874,9388.98456,,348.6502155,8.154621591,20919.01293
598.1598474,51.35731642,9969.33079,,358.2744682,8.168862201,21496.46809
631.9402476,51.15750692,10532.33746,,367.6114297,8.465692808,22056.68578
666.227844,50.71645433,11103.7974,,377.0920369,8.633578836,22625.52221
698.2332289,50.37392289,11637.22048,,386.6444668,8.631327872,23198.66801
731.6683457,50.11848423,12194.47243,,396.0532512,9.113439122,23763.19507
767.5355313,49.76860616,12792.25886,,405.5338583,9.311789519,24332.0315
803.4041754,49.44651211,13390.06959,,415.0144654,9.35568287,24900.86793
837.7063752,49.28365415,13961.77292,,424.4950726,9.662382079,25469.70435
871.9999289,48.95608995,14533.33215,,433.9756797,10.00317398,26038.54078
905.0328878,48.67219549,15083.88146,,443.3844641,10.39855784,26603.06784
934.0150837,48.2574268,15566.91806,,452.936894,10.89059812,27176.21364
965.5273683,48.05445441,16092.12281,,462.4175011,11.44546397,27745.05007
997.3398346,47.72932078,16622.33058,,471.8981082,12.18970291,28313.88649
1034.121387,47.53098638,17235.35645,,482.2522461,13.29980648,28935.13477
1068.410637,47.12142372,17806.84394,,493.4449426,14.41184886,29606.69656
1102.699055,46.6960269,18378.31758,,502.0636764,15.43518959,30123.82058
1138.291128,46.3469336,18971.5188,,511.5442835,16.66301608,30692.65701
1173.839567,45.82015653,19563.99278,,521.0248907,18.28629125,31261.49344
1206.871768,45.27859146,20114.52947,,530.1463839,19.58607934,31808.78303
1239.833124,44.62098581,20663.8854,,539.0149715,21.22467583,32340.89829
1274.118274,44.13334237,21235.30457,,547.2982945,22.82641951,32837.89767
1307.87918,43.56215654,21797.98633,,556.0302093,24.68707935,33361.81256
1342.666458,42.73671218,22377.7743,,564.881696,26.82075841,33892.90176
1376.940479,42.03704662,22949.00798,,572.3063565,28.83376763,34338.38139
1410.435321,41.34902656,23507.25536,,579.2656281,30.70030238,34755.93769
1447.650873,40.69362719,24127.51456,,585.5696302,32.62929931,35134.17781
1473.642964,40.09908614,24560.71607,,,,
1499.218207,39.48362029,24986.97012,,,,
1521.859462,38.84463852,25364.32436,,,,
1551.412115,38.20291346,25856.86858,,,,
1582.827613,37.35404803,26380.46021,,,,
1612.659122,36.36548765,26877.65203,,,,
1645.162701,35.56609984,27419.37834,,,,
1674.151284,34.53661592,27902.5214,,,,
1709.471498,33.67024484,28491.19163,,,,
1743.262091,32.65156127,29054.36819,,,,
1775.635123,31.41276651,29593.91872,,,,
1810.37538,30.45336396,30172.923,,,,
1841.236543,29.33893483,30687.27571,,,,
1879.68325,27.91197794,31328.05417,,,,
1907.300783,27.02734755,31788.34638,,,,
1940.639897,25.49484795,32343.99828,,,,
1971.341912,24.27687781,32855.69853,,,,
2007.040246,22.79529507,33450.67077,,,,
2030.617148,21.3337717,33843.61914,,,,
2066.862479,19.81216549,34447.70799,,,,
2095.373063,18.36817787,34922.88438,,,,
2121.384731,16.92335837,35356.41218,,,,
2145.934356,15.79574554,35765.57259,,,,
2168.001911,14.55540131,36133.36519,,,,
2189.180628,13.40951624,36486.34379,,,,
2206.953571,12.4652853,36782.55951,,,,
