qhm,hm,qlmin,name,nqls,nhm,nqlmin
0.148984707,61.37677585,2.48307845,KSB,0.531132431,2.864121983,31.86794585
0.335018887,61.45878029,5.583648118,MegaCPK,0.577619208,2.884371013,34.65715248
0.51961346,61.46268526,8.66022433, 40-025 (200),0.632548153,2.974355394,37.95288921
0.707041497,61.50563996,11.78402495,3500,0.685424759,2.989595163,41.12548552
0.893043652,61.50563996,14.88406087,195,0.735925261,3.076802318,44.15551568
1.073392603,61.46268526,17.88987671,,0.787612205,3.132520297,47.25673228
1.265047962,61.50563996,21.0841327,,0.838924784,3.139806558,50.33548704
1.455260663,61.46268526,24.25434439,,0.890983944,3.249948944,53.45903664
1.637001946,61.37677585,27.28336577,,0.942667666,3.314655956,56.56005998
1.823004101,61.37677585,30.38340169,,0.992806689,3.317475259,59.56840135
2.008984688,61.32154837,33.48307814,,1.046034037,3.447066325,62.76204223
2.195008411,61.37677585,36.58347352,,1.100740582,3.509010685,66.0444349
2.381010566,61.37677585,39.68350944,,1.149396972,3.589064997,68.96381833
2.562756043,61.30160511,42.71260072,,1.201074896,3.66995227,72.06449378
2.752964551,61.24791173,45.88274251,,1.252754861,3.745146489,75.16529164
2.944577972,61.18347968,49.07629953,,1.304440838,3.803561178,78.26645027
3.124938665,61.17059326,52.08231109,,1.356126707,3.862275501,81.36760245
3.310890495,61.04172915,55.18150825,,1.406650474,3.884561857,84.39902842
3.498281627,60.9901835,58.30469379,,1.459482341,4.024649316,87.56894048
3.682819775,60.84960447,61.38032958,,1.512741733,4.064816144,90.76450399
3.865978095,60.78400092,64.43296825,,1.562843088,4.172754823,93.77058528
4.042977614,60.49101207,67.38296023,,1.614517249,4.264143571,96.87103495
4.240710949,60.5543885,70.67851581,,1.665303459,4.408113433,99.91820755
4.433675527,60.34156746,73.89459211,,1.71785835,4.46707296,103.071501
4.612597223,60.25214357,76.87662038,,1.769506724,4.630426004,106.1704034
4.798541733,60.10453559,79.97569554,,1.821210203,4.640000277,109.2726122
5.000178237,59.72645609,83.33630395,,1.87289371,4.705306559,112.3736226
5.164656708,59.45693918,86.0776118,,1.924587525,4.741847932,115.4752515
5.35221253,58.99444183,89.20354216,,1.976252994,4.857492802,118.5751797
5.539151186,58.61693606,92.31918644,,2.027918464,4.973137672,121.6751078
5.727777498,58.12002822,95.4629583,,2.080402005,4.992132058,124.8241203
5.91144263,57.90889934,98.52404383,,2.131267655,5.153489554,127.8760593
6.099484432,57.35855845,101.6580739,,2.182942788,5.242167323,130.9765673
6.285294436,56.86653183,104.7549073,,2.232601684,5.335539129,133.956101
6.473984798,56.53363287,107.8997466,,2.286249568,5.540874814,137.1749741
6.656868693,55.7653294,110.9478116,,2.337922446,5.635844906,140.2753468
6.842534126,54.90311132,114.0422354,,2.387636695,5.730910868,143.2582017
7.026933574,54.40737498,117.1155596,,2.441268524,5.824886188,146.4761115
7.214022221,53.5812779,120.2337037,,2.493717259,5.941012076,149.6230356
7.399690425,52.72615485,123.3281738,,2.544597638,6.061269713,152.6758583
7.577662104,51.87451689,126.2943684,,2.596262677,6.17811312,155.7757606
7.750264289,50.82655058,129.1710715,,2.647502513,6.388401725,158.8501508
7.934430853,49.77146892,132.2405142,,2.699527691,6.593378415,161.9716614
8.116834945,48.48561234,135.2805824,,2.751169539,6.774942864,165.0701723
8.292784021,47.2024702,138.213067,,2.798762916,7.010536002,167.925775
8.46786114,45.99430294,141.131019,,2.857368788,7.286715453,171.4421273
8.621326901,44.84195939,143.6887817,,2.911444081,7.696564276,174.6866449
8.791050095,43.76242107,146.5175016,,2.947801607,8.299921872,176.8680964
8.970977336,42.24045481,149.5162889,,2.985387519,9.04494085,179.1232512
9.153555086,40.68822798,152.5592514,,3.006430368,9.792908895,180.3858221
9.338953338,39.1418586,155.6492223,,3.030218782,10.4502142,181.8131269
9.509088782,37.68252034,158.484813,,3.071434721,11.82678984,184.2860833
9.661552018,36.20190538,161.025867,,3.059852438,11.12435243,183.5911463
,,,,3.091512346,12.39202097,185.4907408
,,,,3.127561975,13.70212472,187.6537185
,,,,3.115262508,13.02583932,186.9157505
