qhm,hm,qlmin,name,nqls,nhm,nqlmin
0.215679676,36.94945088,3.594661265,KSB,5.142283472,2.377081697,308.5370083
0.707030149,36.80316335,11.78383582,MegaCPK,5.28485402,2.369935099,317.0912412
1.183644844,36.79478229,19.72741407, 50-032 (125.1),5.421065267,2.472135803,325.263916
1.690067854,36.80316335,28.16779757,3500,5.554623048,2.548093827,333.2773829
2.166595729,36.71935279,36.10992881,139,5.693487761,2.651306603,341.6092656
2.67300612,36.7167712,44.55010201,,5.828667104,2.705535219,349.7200263
3.153365184,36.72640942,52.55608639,,5.965910255,2.78209054,357.9546153
3.656054879,36.7263743,60.93424798,,6.102121502,2.815106335,366.1272901
4.136363472,36.69216435,68.9393912,,6.238332749,2.941691415,374.2999649
4.648511596,36.5908159,77.47519327,,6.374543996,3.023550206,382.4726397
5.10059522,36.52898765,85.00992033,,6.510755242,3.204724516,390.6453145
5.621860878,36.49231128,93.69768131,,6.649914785,3.538959491,398.9948871
6.105830875,36.40404054,101.7638479,,6.783177736,3.803269112,406.9906642
6.60471652,36.33413491,110.0786087,,6.922042449,4.116090702,415.322547
7.092328717,36.17512044,118.2054786,,7.067157548,4.392440339,424.0294529
7.58748376,36.09915462,126.4580627,,7.193875284,4.699813126,431.632517
8.075134284,35.97343878,134.5855714,,7.328022724,5.044520998,439.6813635
8.57027942,35.8888663,142.8379903,,7.420939117,5.492534339,445.256347
9.05794095,35.77271248,150.9656825,,7.57052002,6.209398485,454.2312012
9.553075606,35.67903513,159.2179268,,7.659935232,6.638633741,459.5961139
10.04440248,35.51224122,167.4067079,,7.761422146,7.045220565,465.6853288
10.55353231,35.28423658,175.8922051,,7.842414251,7.649988163,470.5448551
11.0419175,35.1497805,184.0319583,,7.942533502,8.200526045,476.5520101
11.51822441,34.87399658,191.9704068,,8.021646095,8.755768612,481.2987657
12.01318406,34.62827925,200.2197344,,8.108204807,9.236193358,486.4922884
12.50073593,34.41684806,208.3455988,,8.251047992,10.35976516,495.0628795
12.995712,34.18539535,216.5952,,8.216216216,9.998428661,492.972973
13.45225155,33.90657968,224.2041926,,8.158982512,9.59186786,489.5389507
13.98181963,33.61745659,233.0303272,,7.503974563,5.875697859,450.2384738
14.46548272,33.26254803,241.0913787,,,,
14.97576976,32.93075617,249.5961627,,,,
15.44779955,32.63624861,257.4633258,,,,
15.9807179,32.37114905,266.3452983,,,,
16.41141216,31.9351665,273.523536,,,,
16.93215088,31.44068418,282.2025146,,,,
17.41208173,31.07829239,290.2013622,,,,
17.91421362,30.59363876,298.570227,,,,
18.39418809,30.2691395,306.5698015,,,,
18.90016415,29.88921098,315.0027358,,,,
19.40722143,29.45323488,323.4536905,,,,
19.82894715,28.96826003,330.4824525,,,,
20.22399925,28.34591566,337.0666541,,,,
20.71490246,27.81105189,345.2483744,,,,
21.09980989,27.38704663,351.6634982,,,,
21.3246408,26.99732752,355.4106799,,,,
21.772066,26.51440648,362.8677666,,,,
22.14590145,26.01635202,369.0983575,,,,
22.49954442,25.46587996,374.992407,,,,
22.9940627,24.83669121,383.2343783,,,,
23.48103304,24.12003471,391.3505507,,,,
23.99594353,23.53904582,399.9323922,,,,
24.42100441,22.93698512,407.0167402,,,,
24.96346872,22.00671244,416.057812,,,,
25.44384962,21.28876152,424.0641603,,,,
25.94579007,20.63778202,432.4298345,,,,
26.39661127,19.94131624,439.9435212,,,,
26.92698332,19.03532406,448.7830554,,,,
27.40640942,18.23439985,456.7734903,,,,
27.92462317,17.53704908,465.4103862,,,,
28.32727335,16.90354254,472.1212226,,,,
28.85230503,15.97938142,480.8717505,,,,
29.27954837,15.13330744,487.9924728,,,,
29.80852486,14.40131832,496.8087477,,,,
30.17149505,13.63552924,502.8582508,,,,
