qmh,hm,qlmin,name,nqls,nhm,nqlmin
0.118210588,18.70997554,1.970176469,KSB,1.488714522,2.380885094,89.32287133
0.733343555,18.70964235,12.22239258,MegaCPK,1.675294724,2.431918002,100.5176834
1.358818904,18.70964235,22.64698173, 50-032 (160),1.867615839,2.484507141,112.0569503
2.013017741,18.54997998,33.55029568,3500,2.057018211,2.492860847,123.4210927
2.695625681,18.56075897,44.92709469,135,2.24211315,2.498473941,134.526789
3.37832578,18.47477201,56.30542967,,2.435854777,2.538207081,146.1512866
4.055816499,18.42871631,67.59694165,,2.625249409,2.539594587,157.5149646
4.743599289,18.43582065,79.05998815,,2.798523739,2.495455064,167.9114244
5.426255292,18.39613436,90.4375882,,3.004038978,2.542643039,180.2423387
6.098669152,18.25086293,101.6444859,,3.193438524,2.548453529,191.6063115
6.791581296,18.30206315,113.1930216,,3.377069149,2.527499779,202.6241489
7.474284194,18.21313646,124.5714032,,3.572308266,2.623657903,214.338496
8.14153592,18.05818844,135.6922653,,3.76175235,2.669551686,225.705141
8.839643096,18.08452348,147.3273849,,3.943934651,2.636424219,236.6360791
9.522296299,18.04777691,158.7049383,,4.140452124,2.591785536,248.4271274
10.14712053,17.91637513,169.1186755,,4.333993764,2.636004293,260.0396258
10.88774969,17.8199482,181.4624948,,4.519320142,2.665438427,271.1592085
11.57047989,17.70235919,192.8413314,,4.708738425,2.688111544,282.5243055
12.23261917,17.48555445,203.8769862,,4.898205548,2.754741063,293.8923329
12.93588778,17.52230102,215.5981297,,5.087619531,2.773544069,305.2571718
13.61860538,17.41794077,226.9767563,,5.277051913,2.808906281,316.6231148
14.27567714,17.09212122,237.9279523,,5.477524898,2.81922684,328.6514939
14.98424286,16.99682513,249.7373809,,5.65593578,2.896823736,339.3561468
15.69297737,16.7242881,261.5496229,,5.845351913,2.917561798,350.7211148
16.45838209,16.67713001,274.3063682,,6.039068886,2.935106301,362.3441331
16.97121666,16.59771262,282.8536109,,6.224214279,2.986128698,373.4528568
17.53797713,16.403702,292.2996188,,6.413656213,3.030087425,384.8193728
18.15481038,16.1694795,302.5801729,,6.605932286,3.04213876,396.3559372
18.80909369,15.92111752,313.4848948,,6.807773899,3.155679019,408.466434
19.46059968,15.73853594,324.3433279,,6.965926751,3.239537833,417.955605
20.1604664,15.36792215,336.0077733,,7.173048223,3.376454237,430.3828934
20.82922822,15.0272092,347.1538037,,7.361090306,3.451863999,441.6654184
21.54061384,14.82142843,359.0102306,,7.550672086,3.621684265,453.0403252
22.22622093,14.53350669,370.4370156,,7.740480769,3.995717388,464.4288461
22.93506223,14.14884671,382.2510372,,7.85563886,4.332677442,471.3383316
23.6426422,13.78957893,394.0440367,,8.016604589,4.574382119,480.9962753
24.27712444,13.42060531,404.6187406,,8.191051992,5.21035316,491.4631195
24.98405282,12.95607869,416.4008803,,8.324873041,5.526726513,499.4923825
25.68773279,12.56090072,428.1288798,,8.448728283,6.090748945,506.923697
26.43311176,12.092016,440.5518626,,8.618111853,7.021489777,517.0867112
27.06435053,11.74124962,451.0725088,,8.734932846,7.994183489,524.0959708
27.78876898,11.29032843,463.1461497,,8.839187445,8.848532711,530.3512467
28.49934604,10.75386625,474.9891007,,8.926498217,9.949235281,535.589893
29.08584623,10.09655499,484.7641039,,9.027970664,10.88228082,541.6782398
29.84958277,9.31873518,497.4930462,,9.105112795,11.87042268,546.3067677
30.50612947,8.768534099,508.4354911,,9.242204884,13.90036227,554.5322931
31.18920823,8.284949292,519.8201372,,9.179347619,12.82462169,550.7608571
31.92713918,7.69981427,532.1189863,,9.31438386,14.73819138,558.8630316
32.47782202,7.037539003,541.2970337,,9.388990385,15.55353156,563.3394231
33.05772941,6.267041519,550.9621568,,,,
33.67063666,5.753294637,561.1772777,,,,
